State,Total Medicaid and CHIP Enrollment (July - Sept. 2013),Total Medicaid and CHIP Enrollment (August 2016),Total Medicaid/CHIP Child Enrollment (August 2016),Change in total Medicaid and CHIP Coverage (2013 - 2016),Dually Eligible for full Medicaid and Medicare (Dec. 2015),Dually Eligible for partial Medicaid and Medicare (Dec. 2015),Dually Eligible for Full or Partial Caid and Care (Dec. 2015),State Has Expanded (as of Dec. 2016),"Increased in Covered due to Expansion (2016, if all expanded)"," Proj. Incr. Rec. Chol. screen (annual impact, if all expanded)","Proj. Incr. Mammograms (annual impact, if all states expanded)","Proj. Incr. Pap. Smear (annual impact, if all expanded)","Proj. Incr. Main Clinical Care (annual impact, if all expanded)","Proj. Incr. All Care (annual impact, if all expanded)","Proj. Incr. Physician Visits (annual impact, if all expanded)","Proj. Reduction Depression (annual impact, if all expanded)","Proj. Incr. Good Health (annual impact, if all expanded)","Proj. Reduction Number Deaths (annual impact, if all expanded)","Proj. reduction Catastrophic costs (annually, if all expanded)","Proj. red. Skip Pay Med. Bills (annual impact, if all expanded)","Net Increase in Federal Spending (2016, if all states expanded)","Reduction in Uncompensated Care (2016, if all states expanded)",Potentially Eligible with Mental Illness or Sub. Use (2010-2014),Potentially Eligible with Mental Illness or Sub. Use (2014)
Alabama ,"799,176","910,775","645,400","111,599","86,609","122,109","208,718",no,"177,000","25,800","7,000","10,700","42,000","20,000","478,000","16,000","24,000",210,"7,900","25,200","1,240",190,30.3%,"85,000"
Alaska ,"122,334","166,625","81,161","44,291","15,634",504,"16,138",yes,"17,000","2,500",600,"1,000","4,000","2,000","46,000","2,000","2,000",20,800,"2,400",90,20,--,--
Arizona ,"1,201,770","1,716,198",--,"514,428","151,001","49,213","200,214",yes,"44,000","6,400","2,200","2,700","10,000","5,000","118,000","4,000","6,000",50,"2,000","6,200",570,50,--,--
Arkansas ,"556,851","920,194","436,815","363,343","66,243","60,445","126,688",yes,"122,000","17,800","4,800","7,300","29,000","14,000","330,000","11,000","16,000",150,"5,500","17,400","1,060",130,--,--
California,"7,755,381","11,843,081","5,102,963","4,087,700","1,360,665","39,969","1,400,634",yes,"1,188,000","173,100","42,100","74,200","282,000","136,000","3,208,000","109,000","158,000","1,430","53,200","169,000","5,790","1,250",--,--
Colorado,"783,420","1,375,264","629,223","591,844","74,964","38,443","113,407",yes,"132,000","19,200","4,400","7,700","31,000","15,000","355,000","12,000","18,000",160,"5,900","18,700",870,140,--,--
Connecticut,--,"761,137","306,614",--,"76,781","93,516","170,297",yes,"72,000","10,500","2,700","4,300","17,000","8,000","194,000","7,000","10,000",90,"3,200","10,200",710,80,--,--
Delaware ,"223,324","236,702","103,587","13,378","13,646","15,325","28,971",yes,"6,000",900,300,400,"1,000","1,000","16,000","1,000","1,000",10,300,900,170,10,--,--
District of Columbia,"235,786","255,491",--,"19,705","21,898","9,155","31,053",yes,"16,000","2,400",300,"1,100","4,000","2,000","44,000","1,000","2,000",20,700,"2,300",60,20,--,--
Florida ,"3,104,996","3,644,673","2,462,518","539,677","374,140","397,515","771,655",no,"750,000","109,300","31,200","46,100","178,000","86,000","2,025,000","69,000","100,000",900,"33,600","106,700","5,900",790,27.7%,"309,000"
Georgia ,"1,535,090","1,782,301","1,253,841","247,211","137,671","168,076","305,747",no,"389,000","56,700","13,900","23,500","92,000","44,000","1,050,000","36,000","52,000",470,"17,400","55,300","2,850",410,25.0%,"159,000"
Hawaii,"288,357","341,200","144,895","52,843","33,543","5,035","38,578",yes,"33,000","4,900","1,400","1,900","8,000","4,000","90,000","3,000","4,000",40,"1,500","4,700",280,40,--,--
Idaho,"238,150","293,905","215,357","55,755","25,961","17,188","43,149",no,"59,000","8,600","2,500","3,600","14,000","7,000","159,000","5,000","8,000",70,"2,600","8,400",300,60,39.0%,"30,000"
Illinois ,"2,626,943","3,117,939","1,457,307","490,996","308,374","45,716","354,090",yes,"340,000","49,600","12,600","20,300","81,000","39,000","919,000","31,000","45,000",410,"15,200","48,400","1,760",360,--,--
Indiana ,"1,120,674","1,489,805","782,960","369,131","133,444","57,334","190,778",yes,"224,000","32,600","7,700","13,000","53,000","26,000","605,000","20,000","30,000",270,"10,000","31,800","1,170",240,--,--
Iowa ,"493,515","619,055","300,017","125,540","64,818","18,432","83,250",yes,"17,000","2,500",600,"1,000","4,000","2,000","46,000","2,000","2,000",20,800,"2,400",270,20,--,--
Kansas ,"378,160","421,638","298,723","43,478","38,849","24,240","63,089",no,"77,000","11,200","2,400","4,400","18,000","9,000","208,000","7,000","10,000",90,"3,400","10,900",300,80,31.3%,"34,000"
Kentucky,"606,805","1,220,788","555,243","613,983","96,363","77,948","174,311",yes,"151,000","22,000","5,600","8,800","36,000","17,000","409,000","14,000","20,000",180,"6,800","21,500","1,640",160,--,--
Louisiana ,"1,019,787","1,328,708","758,432","308,921","104,841","99,904","204,745",yes,"193,000","28,100","7,600","11,600","46,000","22,000","521,000","18,000","26,000",230,"8,600","27,400","1,070",200,29.5%**,"81,000**"
Maine ,--,"273,160","115,217",--,"52,077","35,702","87,779",no,"40,000","5,800","1,900","2,500","10,000","5,000","108,000","4,000","5,000",50,"1,800","5,700",430,40,*,*
Maryland,"856,297","1,252,304","592,836","396,007","83,164","53,545","136,709",yes,"115,000","16,800","4,000","7,000","27,000","13,000","312,000","11,000","15,000",140,"5,200","16,400","1,330",120,--,--
Massachusetts,"1,296,359","1,684,328","672,309","387,969","277,682","21,826","299,508",yes,"2,000",200,100,100,"<1,000","<1,000","5,000","<1,000","<1,000",<10,100,200,670,< 10,--,--
Michigan ,"1,912,009","2,300,958","941,328","388,949","252,704","44,749","297,453",yes,"181,000","26,400","6,000","10,200","43,000","21,000","489,000","17,000","24,000",220,"8,100","25,800","1,460",190,--,--
Minnesota,"873,040","1,051,509","519,101","178,469","117,508","16,914","134,422",yes,"36,000","5,200","1,100","2,200","9,000","4,000","97,000","3,000","5,000",40,"1,600","5,100",400,40,--,--
Mississippi ,"637,229","693,869","470,829","56,640","76,367","81,476","157,843",no,"139,000","20,300","5,200","8,200","33,000","16,000","375,000","13,000","18,000",170,"6,200","19,800","1,380",150,33.8%,"61,000"
Missouri ,"846,084","967,284","624,612","121,200","133,762","39,350","173,112",no,"191,000","27,800","7,100","11,300","45,000","22,000","516,000","17,000","25,000",230,"8,600","27,200","1,370",200,34.2%,"91,000"
